ProductID,ProductName,Quantity,TotalVolume,BottlePrice,LabelName,OakID,ReleaseTarget,ReleaseDate,ManufactureNumber,BottlingManager
P001,Single Malt 12년,100,50000,25000,골든라벨,O001,소비자,2028-03-20,BN001,김병입
P002,Blended 8년,120,60000,18000,블루라벨,O002,도매상,2029-03-22,BN002,박병입
P003,Single Malt 15년,90,45000,32000,레드라벨,O003,소비자,2030-03-25,BN003,최병입
P004,Single Malt 10년,110,55000,21000,그린라벨,O004,소매상,2028-03-25,BN004,이병입
P005,Blended 12년,130,65000,23000,실버라벨,O005,소비자,2029-03-28,BN005,김병입
P006,Single Malt 18년,80,40000,40000,블랙라벨,O006,도매상,2030-03-30,BN006,박병입
P007,Single Malt 8년,140,70000,17000,화이트라벨,O007,소비자,2028-03-28,BN007,최병입
P008,Blended 10년,100,50000,20000,브라운라벨,O008,소매상,2029-03-31,BN008,이병입
P009,Single Malt 21년,70,35000,50000,골드라벨,O009,소비자,2030-04-02,BN009,김병입
P010,Blended 15년,120,60000,27000,블루라벨,O010,도매상,2028-04-05,BN010,박병입
P011,Single Malt 25년,60,30000,80000,플래티넘라벨,O011,소비자,2029-04-07,BN011,최병입
P012,Blended 18년,110,55000,35000,실버라벨,O012,소매상,2030-04-09,BN012,이병입